Wall time,Step,Value
1639852692.9292765,586,-81.09249877929688
1639852714.3151484,587,-55.695499420166016
1639852735.756414,588,-66.11000061035156
1639852757.3395424,589,-76.4742431640625
1639852778.4614341,590,-70.68299865722656
1639852800.5772064,591,-22.346248626708984
1639852821.7026112,592,-76.70325469970703
1639852844.195166,593,-48.605796813964844
1639852866.8298168,594,-46.7224006652832
1639852888.3252263,595,-83.94099426269531
1639852909.7309275,596,-69.07049560546875
1639852932.4958282,597,-68.72325134277344
1639852954.3510695,598,-66.61650085449219
1639852976.0720491,599,-64.86399841308594
1639852998.6089733,600,-67.16200256347656
1639853021.2361524,601,-45.2067985534668
1639853042.8342073,602,-43.219749450683594
1639853064.8740168,603,-65.01200103759766
1639853086.3876872,604,-75.62749481201172
1639853108.1549706,605,-65.979248046875
1639853130.8415067,606,-32.14699935913086
1639853153.0203726,607,-51.675750732421875
1639853175.48064,608,-64.65475463867188
1639853197.6113584,609,-23.745250701904297
1639853219.1753826,610,-63.563751220703125
1639853241.2790842,611,-43.572998046875
1639853263.0218394,612,-67.87049865722656
1639853284.4567025,613,-63.597999572753906
1639853306.1486676,614,-69.552001953125
1639853327.7676957,615,-48.63225173950195
1639853349.649512,616,-68.11325073242188
1639853371.7082636,617,-65.8489990234375
1639853393.7274747,618,-52.049747467041016
1639853416.2049172,619,-43.22074890136719
1639853437.9046054,620,-64.60575103759766
1639853459.9435565,621,-46.141502380371094
1639853481.7811594,622,-40.53624725341797
1639853503.1169689,623,-75.46900177001953
1639853524.4573112,624,-60.63275146484375
1639853547.1298573,625,-57.549251556396484
1639853568.6858845,626,-39.53950119018555
1639853590.7983792,627,-57.34674835205078
1639853613.1352031,628,-35.51799774169922
1639853634.8623812,629,-68.43824768066406
1639853656.9855204,630,-62.80400085449219
1639853678.233078,631,-72.42674255371094
1639853700.4076185,632,-50.23749923706055
1639853722.8074956,633,-50.42375183105469
1639853744.5255604,634,-68.21574401855469
1639853765.8125362,635,-48.334503173828125
1639853787.512117,636,-50.41725158691406
1639853808.772968,637,-58.93724822998047
1639853830.4654958,638,-71.57150268554688
1639853852.974587,639,-63.180999755859375
1639853874.601872,640,-75.43824768066406
1639853895.6157,641,-53.860252380371094
1639853916.9355643,642,-67.60725402832031
1639853939.4127917,643,-63.95100021362305
1639853960.6182835,644,-70.91374969482422
1639853982.7392483,645,-69.11674499511719
1639854004.2722673,646,-72.9417495727539
1639854025.7574875,647,-71.07125091552734
1639854047.130252,648,-62.75475311279297
1639854068.4493303,649,-65.27950286865234
1639854090.1926744,650,-57.65125274658203
1639854111.6558547,651,-51.45650100708008
1639854132.6912413,652,-67.7030029296875
1639854154.5992672,653,-58.112998962402344
1639854176.0920427,654,-66.61199951171875
1639854197.777499,655,-69.57849884033203
1639854218.953343,656,-76.56849670410156
1639854240.9075136,657,-41.90950012207031
1639854262.6042643,658,-61.37049865722656
1639854284.09049,659,-63.292503356933594
1639854305.5362735,660,-62.78925323486328
1639854327.0612123,661,-57.850250244140625
1639854348.5118077,662,-65.49349975585938
1639854370.4259107,663,-63.946998596191406
1639854392.1168654,664,-62.009498596191406
1639854414.1332562,665,-60.587249755859375
1639854435.2997484,666,-63.32400131225586
1639854456.7121933,667,-69.7177505493164
1639854478.681181,668,-69.08674621582031
1639854500.327914,669,-66.906005859375
1639854521.67311,670,-66.3594970703125
1639854543.1799035,671,-63.834747314453125
1639854564.7925832,672,-69.28250122070312
1639854587.0769508,673,-67.45274353027344
1639854608.6568346,674,-69.53475189208984
1639854630.0499122,675,-64.90699768066406
1639854651.2550368,676,-66.62149810791016
1639854672.8648021,677,-58.65875244140625
1639854694.3297994,678,-64.82475280761719
1639854716.0226243,679,-77.12399291992188
1639854737.5509822,680,-62.97149658203125
1639854759.3248236,681,-56.03050231933594
1639854781.041021,682,-69.29474639892578
1639854802.8254597,683,-63.236751556396484
1639854824.717247,684,-66.5842514038086
1639854846.5041764,685,-66.45225524902344
1639854868.1809351,686,-64.3382568359375
1639854889.536058,687,-67.36100006103516
1639854911.2204418,688,-67.94149780273438
1639854932.527773,689,-56.36924743652344
1639854953.9327593,690,-68.38424682617188
1639854975.2910175,691,-60.95724868774414
1639854996.890966,692,-66.86724853515625
1639855018.1842556,693,-67.27400207519531
1639855039.5998514,694,-61.350250244140625
1639855060.8439364,695,-65.05549621582031
1639855082.3258486,696,-57.98725128173828
1639855103.4353213,697,-62.165496826171875
1639855125.222836,698,-74.0532455444336
